AADAT
PCTP
PIK3R5
SLC44A3
PI4KB
PIP5K1A
ARF1
ETNK2
PLEKHA6
RAB5A
OSBPL10
PLA1A
PIK3R1
TNFAIP8
MIGA2
INPP5E
MTMR12
PIP4K2A
GPD1L
GDPD1
AGPAT5
PI4K2A
PTDSS1
ABHD3
GDPD5
GPAT4
SYNJ1
AGPAT3
PCYT1A
ACP6
TNFAIP8L2
ALPI
CDS1
PTPN13
MTMR14
LIPH
ETNPPL
INPPL1
PIP4P1
PLD4
PIP4K2C
MTMR10
RAB4A
MFSD2A
INPP5D
PLEKHA2
AGPAT2
MTM1
PIK3CD
PTEN
PHOSPHO1
PTDSS2
RUFY1
CPNE7
PLD6
MIGA1
PITPNB
TNFAIP8L3
INPP5J
TNFAIP8L1
PCYT2
PIP5K1C
LIPI
PIK3R4
INPP5F
AGPAT1
SLC44A4
CSNK2B
SACM1L
CPNE1
STARD10
PISD
PI4KA
TPTE
PIK3R6
PIP4K2B
